Subject,Company Name,Founded Year,Headquarters Address,Phone Number,Website URL,Email Address,CEO/President,Annual Revenue,Employee Count,Services Offered,Union Status,Logo Description,LinkedIn URL,Facebook URL,Twitter URL,Instagram URL,Key Projects,Certifications,Safety Record,Recent News,Organizing Notes,Research Confidence,Data Sources,Error
A-Tech Landscape,A-Tech Landscape Design Inc. / A-Tech Services,Approximately 1997,"Primary addresses found: 22 Hidden Crt, South Plainfield, NJ 07080; also 1910 Roosevelt Ave, South Plainfield, NJ 07080 and 162 West State Street, Trenton, NJ 08608","(908) 769-9698, (908) 413-4151, (732) 992-0600",https://atechsrv.com/,Pb@a-techsrv.com,Jon Dean (President),"Estimated <$5 Million (Zoominfo); $79,000 (Manta, Buzzfile). Note: Significant discrepancy, <$5M is more plausible given employee count.","Approximately 60 (based on owner's social media comment); 1-4 (Zoominfo, Datanyze). Note: Significant discrepancy, prioritizing owner's statement.","Landscape Maintenance, Landscape Construction, Site Work Construction, Snow Services, Dog Run/Dog Park Construction, Landscape Renovations, Playground Construction, Trash Enclosure Gate Installations, Hardscaping, Masonry & Concrete Contractors.",Not available,A-Tech in red script with a green tree icon.,https://www.linkedin.com/in/jon-dean-577b7ab3,https://www.facebook.com/107250980879093/albums/107297050874486/ (A-Tech Landscape and Construction LLC); https://www.facebook.com/FORDSLAWNMOWER/videos/a-tech-landscape-design-demoing-the-new-ariens-mammoth-850-at-our-piscataway-loc/638251410528783/,Not available (no direct company Twitter found),https://www.instagram.com/atech_landscape_design/?hl=en,"Specific project names not detailed, but services include Dog Run/Dog Park Construction, Landscape Renovations, Playground Construction, Trash Enclosure Gate Installations. Blog posts mention projects in Princeton, Rumson, Fair Haven, NJ.",Certified installers for Techo-Bloc and Cambridge.,No direct OSHA violations found for A-Tech Landscape Design. (Note: Distinguished from similarly named companies).,Blog posts on company website (July 2024) regarding HOA landscape services and pool area design in NJ. Service offerings updated Feb 2024.,"The company operates in New Jersey and offers a wide range of construction-related landscaping services. There are significant discrepancies in reported revenue and employee count, with the owner's social media indicating a larger workforce (60 employees) than other sources (1-4 employees). This discrepancy should be investigated further. No direct evidence of union status, labor disputes, or OSHA violations was found for this specific entity, but care was taken to distinguish it from similarly named companies. The company's focus on commercial/HOA clients and diverse construction services makes it a relevant target for organizing efforts. Jon Dean is the President and has a LinkedIn profile.",Medium,"atechsrv.com, linkedin.com/in/jon-dean-577b7ab3, instagram.com/atech_landscape_design/, yelp.com, techo-bloc.com, houzz.com, njaa.com, mapquest.com, zoominfo.com, safer.fmcsa.dot.gov, buzzfile.com, datanyze.com, cisleads.com, facebook.com/107250980879093/albums/107297050874486/, facebook.com/FORDSLAWNMOWER/videos/a-tech-landscape-design-demoing-the-new-ariens-mammoth-850-at-our-piscataway-loc/638251410528783/, osha.gov (for general searches, no direct hits for A-Tech Landscape Design), nlrb.gov (for general searches, no direct hits for A-Tech Landscape)",
NJG outdoor management LLC,NJG OUTDOOR MANAGEMENT LLC,"May 15, 2018","15 Cohise Circle, Medford, NJ, 08055-9769",(609) 744-1949,Not found.,"jenna@njgoutdoor.com, njgcontracting@verizon.net","Not explicitly stated, but Michael Githens and James C Githens appear to be key figures/owners based on legal filings and contact information.","Modelled (from D&B), estimated $554,750 (from Buzzfile, but blocked)","Modelled (from D&B), estimated 1 (from Buzzfile, but blocked)","Outdoor services, landscape design, maintenance, hardscaping, Management services",Not found.,"No specific logo for NJG Outdoor Management LLC was found. A logo for 'Outdoor Digs' was found, which may be a related entity or a competitor.","No official company page found, but employees like Michael DiGenova and Ethan Bauer are on LinkedIn.",Not found.,Not found.,Not found.,"Not explicitly found, but services suggest residential and commercial outdoor services.","Home Improvement Business Contr license #13VH10115800 (New Jersey license board, active as of August 2025)","No specific OSHA violations found. Legal disputes found are commercial in nature, not labor-related.","No recent news found, apart from legal filings.","Legal disputes found: Diversitas Holdings Llc Vs Njg Outdoor Manageme Lawsuit (Breach of Contract - Commercial, breach of guaranty, unjust enrichment, replevin of equipment), Door Supply Of Nj Inc Vs Githens James Lawsuit (Breach of Contract - Commercial). These indicate potential financial or operational issues.",Medium,"dnb.com, safer.fmcsa.dot.gov, buildzoom.com, mapquest.com, bizapedia.com, brokersnapshot.com, linkedin.com, trellis.law",
Whispering Pines,Whispering Pines Developers LLC,2017,"110 Hillside Blvd, Suite 1, Lakewood, NJ, 08701","(732) 364-2838 (for W P Development Corp, likely related)",Not found (likely operates through specific project websites or real estate agencies),Not found,"Not found (Moshe Lasdun is associated with 42 Whispering Pines Ln, Lakewood, NJ 08701, which is a residential address within the development, but not explicitly as CEO/President of the LLC)",Not found,Not found,"Real estate development, particularly new construction residential developments.",Not found,Not found,"Imperial Real Estate Agency LinkedIn mentions selling out Whispering Pines, suggesting a partnership or project-specific involvement.","Not found (Facebook groups exist for residents of Whispering Pines developments, but not for the developer LLC itself)",Not found,Not found,"Whispering Pines development in Lakewood, NJ.",Not found,No specific OSHA violations or safety incidents found for this entity.,"Mentioned in Berkeley Sewerage Authority minutes (Feb 19, 2025) regarding a refund, and in The Lakewood Scoop (undated) for a ""Thank You"" message.","This entity appears to be a real estate developer. Information on labor practices, employee count, and specific projects beyond the residential development is limited. Further investigation into their contractors and specific project sites would be beneficial for organizing efforts. The connection to W P Development Corp (Manta.com) and Imperial Real Estate Agency (LinkedIn) suggests a network of associated businesses.",Medium,"New Jersey Business Entity Name Search (njportal.com), Berkeley Sewerage Authority minutes (berkeley-sewerage-authority.com), Manta.com, Zillow.com, Realtor.com, Homes.com, The Lakewood Scoop (thelakewoodscoop.com), LinkedIn.",
Nearyco Inc,J.A. Neary Excavating (also referred to as Nearyco Inc.),1986,"330 Roycefield Rd Unit H, Hillsborough Township, NJ 08844",(732) 302-1866,http://nearyexcavating.com/,info@nearyexcavating.com,Jeffrey Neary (President),Estimated $1M - $5M,11-50 employees,"Full-service site and utility contractor, commercial, industrial, and retail site development, excavation services, Mass Excavation & Grading, Utilities, Stormwater Management, Commercial Site Maintenance, Trucking, Test Pits, Commercial Septic Systems, Emergency Sewer, Water, and Fire Service Repairs.",Non-union,"A brown oval logo with ""Jeffrey A. Neary"" in script above ""NEARY"" in bold, stylized letters, and ""EXCAVATING"" below it. The text is white/light colored.",https://www.linkedin.com/company/j-a-neary-excavating,Mentioned as a sponsor on Hillsborough PBA Facebook page (https://m.facebook.com/HillsboroughPBA/photos/the-final-deadline-8152025-for-sponsoring-the-50th-annual-golf-outing-is-near-we/1179780887516574/),Not found,Not found,"Adesa Storage Facility (Hillsborough, NJ), CVS (Washington, NJ), Utilities (New Jersey), QuickChek (Piscataway, NJ), QuickChek (Raritan, NJ), QuickChek (Robbinsville, NJ)","NJDOT Certified Contractor, Certified Installer of Onsite Wastewater Treatment Systems (CIOWTS)","Paid over $11,000 in OSHA fines in the past. One violation detail found: Inspection Nr: 1674678.015, Citation: 01001, Citation Type: Serious, Initial Penalty: $6,250.00 (Issuance Date: 11/29/2023). Involved in a work-site death incident in Hillsborough, NJ (June 2023).","June 2023: Involved in a work-site death incident in Hillsborough, NJ, leading to OSHA fines. November 2024: Awarded a contract for Route 27 Water Services Replacement in Franklin Township for $567,950. May 2022: Scheduled a lane and shoulder closure on Route 22 for a developer project. August 2024: A lawsuit (JA Neary Corp. Vs Sabatino Phil) was filed against J.A. Neary Corp.","Non-union status is confirmed. Company has a history of OSHA violations, including involvement in a work-site death, which could be a significant point for organizing efforts. They are an NJDOT Prequalified Contractor, indicating involvement in public works projects. Recent contract awards show ongoing business in New Jersey.",High,"nearyexcavating.com, linkedin.com, zoominfo.com, manta.com, cisleads.com, safer.fmcsa.dot.gov, osha.gov, nj1015.com, tapinto.net, trellis.law",
JA Neary Corp,J.A. Neary Excavating Corp.,Before 1990 (Over 35 years of experience),"330 Roycefield Rd Unit H, Hillsborough Township, NJ 08844",(732) 302-1866,http://nearyexcavating.com/,info@nearyexcavating.com,Phil Sabatino (Owner/Principal),Estimated $2.5 Million - $5 Million,6-50 employees,"Mass Excavation & Grading, Utilities, Stormwater Management, Commercial Site Maintenance, Site Development, Trucking, Test Pits, Commercial Septic Systems, NJDOT Certified Contractor, Emergency Sewer, Water, and Fire Service Repairs.",Not explicitly stated as union or non-union. No NLRB cases found.,"The company logo is an oval shape with a brown background. It features the name ""Jeffrey A. Neary"" in a script font, with ""EXCAVATING"" written below it in a sans-serif font.",https://www.linkedin.com/company/j-a-neary-excavating,No official company Facebook page found.,No official company Twitter profile found.,No official company Instagram profile found.,"Adesa Storage Facility (Hillsborough, NJ), CVS (Washington, NJ), QuickChek (Piscataway, Raritan, Robbinsville, NJ)","NJDOT Certified Contractor, Certified Installer of Onsite Wastewater Treatment Systems (CIOWTS), License No. GE37447","History of OSHA violations and fines. Involved in a workplace death incident in Hillsborough, NJ, in May 2023. Paid over $11,000 in OSHA fines in the past. Violation Tracker shows a $5,500 penalty in 2023 for a workplace safety or health violation. OSHA violation detail with a contested penalty of $6,250.00 (12/21/2023).","Involved in a workplace death incident in Hillsborough, NJ, in May 2023. Filed a legal case against Hiland Constructionservices, et al. on August 14, 2024.","Company has a history of OSHA violations and was involved in a workplace death. No explicit union status found, suggesting non-union. Potential target for organizing efforts given safety record and construction industry focus in New Jersey.",Medium,"http://nearyexcavating.com/, https://www.osha.gov/, https://violationtracker.goodjobsfirst.org/, https://nj1015.com/, https://www.manta.com/, https://www.zoominfo.com/, https://www.buzzfile.com/, https://www.thebluebook.com/, https://trellis.law/",
Roy Rock,Roy Rock,Pre-1995 (Rui Pires took over as owner and president in 2005).,"150 North Park Street East Orange, NJ 07017",862-444-3302,https://royrock.com/,,Rui Pires,$2 million (2025),"Not explicitly stated, but LinkedIn profiles suggest a significant number of employees.","Reinforced Concrete Foundations/Structures, Architectural Concrete, Mat Slab Foundation, Slabs On Grade/On Deck, Excavation/Grading/Shoring, Certified Post-Tension Installer, General/Structural Masonry Construction, In-House Rebar Detailing, In-House Surveying, In-House Concrete Pumping Service, In-House Trucking, HAZWOPER 40 Environmental Work.","Formerly union, but union terminated, and Rui Pires took over as owner and president in 2005.","The company logo, visible on their website (royrock.com), features the words ""ROY ROCK"" in a bold, sans-serif font, with ""MASONRY AND CONCRETE"" in a smaller font below. A vertical green bar is placed to the left of ""ROY ROCK"".",https://www.linkedin.com/company/roy-rock-llc,,,,,"Fully licensed, insured and bondable","An employee was injured on February 12, 2020, when his hand was caught in a machine that bends and cuts rebar. A federal safety appeals panel overturned an administrative law judge's ruling that upheld a citation against the company (Source: oshrc.gov, news.bloomberglaw.com).","Roy Rock LLC, along with DKNJ Masonry Corp. and Silver Construction Inc. (all operated by Rui Pires), settled with the U.S. Department of Labor in 2017 for $850,000 in back pay for 153 workers due to FLSA overtime and recordkeeping violations (Source: nj.com, patch.com, dol.gov).",,High,"royrock.com, linkedin.com, zoominfo.com, rocketreach.co, nlrb.gov, oshrc.gov, nj.com, patch.com, dol.gov",
Joe Maggio,Joe Maggio LLC,2000,5 Aaron Way Sparta NJ 07871,(973) 875-2722,https://www.joemaggiollc.com/,joemaggiollc@gmail.com,Joseph Maggio (Owner/President),$3.67M - $5.5M,<25,"Commercial & Residential Concrete, Poured Foundations, Excavation, Demolition & Dumpsters, Metal Buildings, Conventional Construction, Site Work, Foundations, Drainage, Structural Steel, Stick Framing, Wood Truss Systems, Conventional Roofing Systems, Brick, Block, and Tilt Up Concrete.",Can do Union Work. Can do Non-Union Work.,"The logo features a cartoon-style construction worker in a red cap and overalls, kneeling and using a trowel. The text ""JOE MAGGIO LLC"" is next to the worker in a bold, black font.",Not found.,https://www.facebook.com/JoeMaggioConstruction/,Not found.,https://www.instagram.com/joe_maggio_construction/?hl=en,"Not specifically listed, but company performs commercial construction and residential concrete work.","Home Improvement Business Contr license (New Jersey), 2 other licenses (New Jersey). OSHA 10 and OSHA 30 cards preferred for employees.","OSHA records show several activities for ""Joe Maggio Llc"" in New Jersey, including ""Planned"" inspections and ""Referral"" activities. One entry from 02/24/2023 for ""Joe Maggio Concrete & Masonry"" shows 1 violation (NAICS 488320). Another entry from 10/21/2024 for ""Joe Maggio Llc"" shows 0 violations (NAICS 238110). A ""Referral"" activity from 12/07/2016 for ""Joe Maggio Llc"" also shows 0 violations (NAICS 238110). It is important to note that the OSHA search results indicate that ""inspections which are known to be incomplete will have the identifying Activity Nr shown in italic. Information for these open cases is especially dynamic, e.g., violations may be added or deleted."" Therefore, the current status of these activities should be verified if possible.","A legal dispute was filed in July 2022 involving Joe Maggio LLC (Silvi Concrete Products Inc Vs 803 South Urban Renewal Llc, Joe Maggio Llc). In March 2018, Joseph Maggio pleaded guilty and was fined for operating an illegal commercial business in a residential zone in Wantage, NJ. (This may or may not be directly related to Joe Maggio LLC as a company, but involves the owner).","The company is described as a ""growing construction company"" with compensation noted to be approximately 40% below the U.S. Construction industry average, which could be a point of interest for organizing efforts. They are capable of both union and non-union work. There are some OSHA activities, including one violation for ""Joe Maggio Concrete & Masonry"" in 2023, and a legal dispute in 2022. The owner, Joseph Maggio, was fined in 2018 for operating an illegal commercial business in a residential zone, which might indicate a willingness to cut corners.",Medium,"joemaggiollc.com, dnb.com, cisleads.com, osha.gov, facebook.com, instagram.com, salary.com, zoominfo.com, trellis.law, njherald.com",
Cioffi Services,Cioffi Excavating Services,Before 2000 (based on 'Over 25 years experience'),"Not explicitly stated for Cioffi Excavating Services, but related entities are in Stony Point, NY and Congers, NY. Serves NY, NJ, CT.",(845) 429-7711,https://cioffiexcavatingservices.com/,Not found on website,Jerry Cioffi (Owner),$2.7M (for Cioffi Excavating Services Inc.),"Unknown (website mentions 'team of seasoned professionals', D&B lists 'employees' for CIOFFI 1, INC. without number, Buzzfile for 'Cioffi Services' lists 1,911 but likely aggregate)","Excavating, professional pavement solutions, landscaping, hardscaping, snow removal, water and sewer services, hauling.",No direct information found regarding union status. Company website does not mention any union affiliations.,"The logo appears to be text-based, with ""CIOFFI EXCAVATING SERVICES INC."" in a dark oval shape. The website also features an excavator with ""CIOFFI"" written on its arm.","https://www.linkedin.com/in/jerry-cioffi-99385933 (for Jerry Cioffi, Owner)","No direct company page found, mentions in local groups and 'Cioffi Development Inc.' page",No direct company page found.,https://www.instagram.com/cioffi_excavating_services/,"Not explicitly listed, but services include residential and commercial projects.",Not found,"No specific OSHA violations or incidents found for Cioffi Excavating Services in New Jersey. General OSHA news releases for New Jersey were found, but none directly implicated the target company.","No recent news specifically about Cioffi Excavating Services was found. Older news (2011-2012) about a 'Jerry Cioffi' (owner of 'Cioffi Services, Inc.') being convicted of grand larceny in New York. Connection to current entity needs verification.","Initial research indicates that 'Cioffi Services' is a broad term, with several distinct companies bearing the 'Cioffi' name. For the purpose of New Jersey construction organizing efforts, 'Cioffi Excavating Services' (cioffiexcavatingservices.com) appears to be the most relevant entity, explicitly serving New Jersey with construction-related services. We will proceed with gathering information for Cioffi Excavating Services, while noting the existence of other 'Cioffi' entities like Cioffi Electric and Cioffi Bill Contractor. Older news articles (2011-2012) about a 'Jerry Cioffi' (owner of 'Cioffi Services, Inc.') being convicted of grand larceny in New York were found. While the name matches the owner of Cioffi Excavating Services, it's important to note that the articles refer to 'Cioffi Services, Inc.' and a plumbing contractor, which may or may not be the same entity as the current Cioffi Excavating Services. This information is relevant for organizing efforts but requires careful verification regarding the specific entity.",Medium,"https://cioffiexcavatingservices.com/, https://www.linkedin.com/in/jerry-cioffi-99385933, https://www.dnb.com/business-directory/company-information.construction.us.new_york.stony_point.html, https://www.manta.com/c/mb43835/cioffi-1-inc, https://www.instagram.com/cioffi_excavating_services/",
GMP,"GMP Contracting, LLC",2010,"2240 S Clinton Ave, South Plainfield, NJ, 07080-1415 United States","(908) 205-0047 (Primary), (732) 410-9754, (908) 966-1641, (732) 400-6936",www.gmpnj.com (currently showing an error/under maintenance),gmpcontracting@gmail.com,Joseph Porchetta (President/Managing Member),$10.7 Million - $18.58 Million,42 employees,"Site development, demolition, concrete, earthwork, underground utilities, paving, modular retaining walls, pre-construction budgeting, turn-key site solutions.","Non-union, based on NLRB case 22-CA-253984. IUOE Local 825 was the charging party in an NLRB case against GMP Contracting, LLC.","The logo for GMP Contracting typically features the letters ""GMP"" in a bold, often gold or black, sans-serif font, with ""CONTRACTING"" in a smaller font underneath. Some variations include an excavator graphic or a more stylized ""GMP"" with a red and blue design.",https://www.linkedin.com/company/gmp-contracting,https://www.facebook.com/p/GMP-Contracting-LLC-100029264516283/ or https://www.facebook.com/GMPContracting/,,https://www.instagram.com/gmpnj/,Bridge Development's first project in New Jersey (former Tuscan Dairy site),"USDOT Number: 2317081 (Active). Individual employee certifications include OSHA 30-hour, Confined Space Awareness Certification, Engineer-in-Training, OSHA 10-Hour Construction Safety and Health, and Adult First Aid/CPR/AED (Joseph Callan).","From FMCSA SAFER website: 23 inspections in 24 months prior to 09/16/2025, with 3 vehicle out-of-service violations (14.3% OOS rate). 0 crashes reported. No specific OSHA violations found directly on the OSHA website for ""GMP Contracting LLC"" in New Jersey.",No significant recent news (past year) found through general web or news searches. Most results were older or related to other companies.,"The company is non-union, and has a past NLRB case (22-CA-253984) with IUOE Local 825 as the charging party, involving allegations of discipline, discharge, interrogation, and coercive statements. This indicates a history of labor disputes and potential anti-union sentiment. The company's website appears to be under maintenance, which could be a factor in communication or information gathering. No significant recent news (past year) was found.",High,"ZoomInfo, D&B, FMCSA SAFER, NLRB, LinkedIn, Facebook, Instagram, The Blue Book, South Plainfield Zoning Board archives, Newswire.com",
Caravella,"Caravella Demolition, Inc.","Not explicitly stated, but family in industry since 1928, business since 1985.","40 Deforest Ave, East Hanover, NJ 07936, United States",(973) 884-4900,https://www.caravellademo.com/,"info@caravellademo.com, dinac@caravellademo.com, stacyk@caravellademo.com, johnc@caravellademo.com",John Caravella (Owner),$4 million (2025),6-13 (discrepancy between sources),"Commercial and residential building demolition, emergency response demolition, environmental services, concrete crushing, excavating, site work, recycling, and on-site crushing services.","Not explicitly stated as union or non-union. Company website mentions services in ""Union, NJ"" and ""Union City, NJ"", which refer to geographic locations, not union affiliation. Further investigation needed.","The logo consists of the word ""CARAVELLA"" in green, with ""DEMOLITION"" below it in yellow, all capitalized. It is typically displayed on a dark background.","Multiple individual profiles found, no main company page identified.",https://www.facebook.com/CaravellaDemolition/,https://twitter.com/caravellademoli,https://www.instagram.com/caravella_demolition/,"Demolition of Passaic County Jail ($3.4 million contract), demolition projects in Lincoln Park and Harrison, NJ, Hackensack YMCA, six-story building near St. Joseph's, emergency response demolition, environmental abatement projects.",,"Company claims ""Zero OSHA incidents or violations"", but OSHA records show multiple incidents (08/21/2023: Complaint, Partial, ID 238910; 12/14/2023: Referral, Partial, ID 238160; 05/19/2022: Planned, Complete, ID 811121).","2025-04-14: Phillipsburg, NJ, issued Resolution R2024-196 for Bond Release Caravella Demolition. 2025-03-18: Mentioned in Atlantic City Board of Education meeting minutes regarding a demolition project with PMY Construction Corp. for $2,528,000.00. Recent (undated, but within past year based on Instagram posts): Dispatched for an Immediate Demolition Building Collapse. Involved in the demolition of Hackensack YMCA and a six-story building near St. Joseph's. Within the past year: Demolition of the Passaic County Jail began, with a $3.4 million contract awarded to Caravella Demolition.","Discrepancy in employee count between ZoomInfo (13 employees) and SignalHire (6 employees) should be noted for further verification. Contradiction between company's claim of ""Zero OSHA incidents or violations"" and actual OSHA records of complaints and referrals (08/21/2023: Complaint, Partial, ID 238910; 12/14/2023: Referral, Partial, ID 238160; 05/19/2022: Planned, Complete, ID 811121). This could be a significant point for organizing efforts.",Medium,"caravellademo.com, zoominfo.com, dnb.com, rocketreach.co, osha.gov, facebook.com, twitter.com, instagram.com, newjerseyhills.com, constructionequipmentguide.com, phillipsburgnj.org, acboe.org",
Royce,Royce Demolition and Development,1986,"289 Maltese Dr, Totowa, NJ 07512","Office: 973-696-0505, Cell: 973-856-3669",https://roycedemolition.com/,joeroycejr@aol.com,"Joseph Royce, Jr. (President)",Approximately $14.8M,Approximately 30,"Commercial Demolition, Debris Removal, Site Work, Industrial Demolition, Structural Demolition, Factory Demolition, Plant & Factory Dismantling, Interior & Exterior Demolition, Onsite Mobile Concrete Crushing, Boiler Removal, Concrete & Asphalt Removal, Wood & Steel Removal, Land Clearing, Hydro Hammer, Water & Sewer Main Repairs & New Installation, Heavy Excavation, Storm Drains, Retention Basins, Emergency Repairs, Snow Plowing, Salting, and Snow Removal.",Capable of both Union and Non-Union Work (according to CIS Leads). Not exclusively unionized.,"The logo on roycedemolition.com features the word ""ROYCE"" in bold, capitalized letters, with ""DEMOLITION"" underneath in smaller, capitalized letters. A stylized graphic element, possibly representing a demolition ball or a construction element, is integrated into or above the text. The colors appear to be red and black/grey.",https://www.linkedin.com/in/phil-berkenbush-083b6a8a; https://www.linkedin.com/in/chris-royce-896b90140,https://www.facebook.com/HeavyTruckPhotos1/,Not found,Not found,Not explicitly listed on website or search results.,Licensed and Insured (specifics not detailed),"Claims an ""impeccable safety record"" and operates under ""strictest safety protocols, with continuous training based on OSHA safety standards"". No specific OSHA violations or worker compensation claims were found for Royce Demolition and Development in New Jersey through general search.","No independent recent news articles or developments were found through general search. The company website mentions a ""Downtown Plaza Revitalization"" case study, but this is internal marketing material.","Ambiguity exists between ""Royce Demolition and Development"" and ""C.Royce Demolition"", and ""Royce Construction Services"". Financial and employee data are estimates based on the most likely entity. The 1996 NLRB case for ""Mack Royce Dismantling, LTD."" does not appear directly related to Royce Demolition and Development based on current search results. Further investigation may be needed to definitively separate these entities if their relationship is critical for organizing efforts.",Medium,"roycedemolition.com, cisleads.com, zoominfo.com, crunchbase.com, thebluebook.com, growjo.com, linkedin.com, facebook.com, yelp.com, mapquest.com",
SCG-Sullivan Construction Group,"Sullivan Construction Group, LLC",2017,"P.O. Box 789, Wurtsboro, NY 12790",845-640-2200,https://sullivancg.com/,"info@sullivancg.com, Anthony@SullivanCG.com","Anthony Perrello, Jr. (Principal); Martin Berenson (Key Principal)",Not readily available/Conflicting,"60+ full-time union craftsmen year-round, peaking at over 100","Provides design-build assistance, general contracting, and all phases of trade contracting. Specializes in commercial, industrial, and institutional construction. Services include concrete slab on grade, concrete footings, piers, foundation walls, slab-on-grade, slab-on-deck, concrete reinforcement, custom-designed and poured concrete panels, and pre-cut, ready-to-assemble steel structures. They self-perform all services, including foundations, superstructures (bridges, dams, parking garages, reinforced elevated slabs), various slab types (random traffic floors, reinforced decks, superflat floors, ASRS matt slab, freezer slabs), concrete paving (2D and 3D standard, proprietary engineered solutions), and concrete structure BIM/5D modeling.",Union,"The logo consists of the letters ""SCG"" in a bold, yellow, sans-serif font, stacked above the word ""SULLIVAN"" in a similar but slightly smaller yellow font. Below ""SULLIVAN"" is ""CONSTRUCTION GROUP, LLC."" in a smaller, white, sans-serif font. The entire logo is set against a black background.",https://www.linkedin.com/company/sullivan-cg,"No clear official page found for SCG-Sullivan Construction Group, LLC (Sullivan County, NY). Multiple pages exist for similarly named companies.","No clear official page found for SCG-Sullivan Construction Group, LLC.",https://www.instagram.com/sullivan_construction_group/,"Freezer Addition, NY Transco, Frito-Lays Fulfillment Center, Pharmacann Grow House",Fully insured and bondable. Specific industry certifications and licenses were not found.,"No specific OSHA violations or safety incidents were found for SCG-Sullivan Construction Group, LLC (Sullivan County, NY). Several OSHA records exist for similarly named 'Sullivan Construction' entities in other states, but these cannot be definitively linked.","No specific news articles or developments were found. Instagram posts show recent projects like a ""New resting wall in Sugerloaf, NY"" and a ""Quick little 100 yard pour in Fishkill, NY.""","SCG-Sullivan Construction Group, LLC is a unionized commercial concrete contractor based in Sullivan County, NY, operating in the Tri-State area. The company explicitly employs ""union craftsmen,"" which is a significant factor for IUOE Local 825 organizing efforts. Key personnel include Anthony Perrello, Jr. (Principal) and Martin Berenson (Key Principal). While specific financial details are not publicly available, the company is actively involved in notable projects such as the Frito-Lays Fulfillment Center. The company's focus on concrete services and its union status are crucial for targeting. Further investigation into specific union contracts, local project bids, and any potential expansion into New Jersey beyond the ""Tri-State area"" general description would be beneficial. The lack of specific OSHA violations or NLRB cases directly linked to this entity is a positive, but continuous monitoring is recommended. The company's emphasis on quality, safety, and customer service could be leveraged in organizing messaging.",Medium,"1. https://www.nycompanyregistry.com/companies/sullivan-construction-group-llc/
2. https://sullivancg.com/
3. https://ccahv.com/member/sullivan-construction-group-llc/
4. https://sullivancg.com/contact-us/
5. https://www.dnb.com/business-directory/company-profiles.sullivan_construction_group_llc.2e94ec33446ec293217f67392df1911b.html
6. https://sullivancg.com/why-scg/
7. https://sullivancg.com/portfolio/
8. https://www.nlrb.gov/case/03-CA-322695
9. https://www.osha.gov/ords/imis/industry.search?sic=&naics=23&state=All&officetype=&office=All&startmonth=12&startday=31&startyear=2012&endmonth=01&endday=01&endyear=2002&scope=&fedagncode=&owner=&p_start=&p_finish=73100&p_sort=estab_name&p_desc=DESC&p_direction=Next&p_show=20
10. https://www.linkedin.com/company/sullivan-cg
11. https://www.instagram.com/sullivan_construction_group/
12. https://rocketreach.co/sullivan-construction-llc-competitors_b5c0d45ef42e0850",
Lakeside construction,HOER EXCAVATION & CONSTRUCTION COMPANY INCORPORATED,1986,"151 Sparta Stanhope Road, Hopatcong, NJ 07843",(973) 398-4517,www.lakeside-nj.com (currently unreachable),Richh@lakeside-nj.com,Richard Hoer (Owner/President),$5M - $10M (estimated),20-50 employees,"Road and bridge reconstruction, excavating work, retaining walls, building pads, demo and clean up properties, Site Preparation Contractors, Machinery, Large Objects, Building Materials, Construction",NonUnion,"Not explicitly found, but the company name 'Lakeside Construction' suggests a logo related to lakes or construction imagery.",No official company LinkedIn page found for HOER EXCAVATION & CONSTRUCTION COMPANY INCORPORATED dba Lakeside Construction. Individuals associated with 'Lakeside construction' or 'Lakeside Construction & Management' in New Jersey were found.,"No official company Facebook page found for HOER EXCAVATION & CONSTRUCTION COMPANY INCORPORATED dba Lakeside Construction. A page for 'Lakeside Construction NJ' exists, but it appears to be a home improvement business.",No relevant official Twitter presence found.,No relevant official Instagram presence found.,"Potentially involved in ""Lakeside and Firstfield projects"" in Pompton Lakes, NJ (park and bridge upgrades).","Home Improvement Business Contractor license (New Jersey license board), Home Improvement Contractor Registration","One serious OSHA violation (Inspection 965869.015, Citation ID 01001, Standard Cited 19260602 A09 I) with an initial penalty of $1,200, settled for $840. Inspection opened 04/01/2014. No crashes reported in the last 24 months.","No recent news articles directly related to HOER EXCAVATION & CONSTRUCTION COMPANY INCORPORATED or Lakeside Construction were found, other than a legal case from 2019.","The company operates as 'Lakeside Construction' under the legal entity 'HOER EXCAVATION & CONSTRUCTION COMPANY INCORPORATED'. It is a non-union company with one serious OSHA violation in 2014. Revenue and employee count suggest a small to medium-sized business. Key personnel include Richard Hoer (Owner/President), Leslie Wolfe (V.P.), and Craig Eich (V.P.). The official website (lakeside-nj.com) is currently unreachable. Focus on the non-union status and past OSHA violation for organizing efforts.",Medium,"The Blue Book, FMCSA SAFER, OSHA, Buzzfile, Cortera, NJ.gov, MapQuest, CIS Leads, Yelp, Manta, BuildZoom, LinkedIn, Facebook, Twitter, Instagram, Justia, Capehart",
